,id,name
105,5b16b7c8630c7f0007fa85d8,Hytteost 1.5% Vores
106,5acbc2981f0bb90007b41ba6,Hytteost 4% Karolines Køkken
107,5c1624c822cdc00007a4bc3a,Ice cream (vanilla)
108,5c3a6e4022cdc00007a4bced,Ice cream Oppo Salted Caramel
109,5b1c04da630c7f0007fa8611,Isolight protein powder
110,5ba63fc97471830008bddf6d,Jam
111,5bbe3dcb7471830008bddfe5,Jam levevis jordbær
112,5c7aebd8ea3a3e0006d21614,Jordbær jam uden sukker EASIS
113,5ddc215c1cb33a00061eb0bc,Kikerter Bonduelle
114,5c92a4a9ea3a3e0006d216cb,Kilk Arla 3.5%
115,5dda33ed1cb33a00061eb0ad,Kit Kat mini (1)
116,5d5110d2ea6839000695568d,Kiwi (1)
117,5ce0285de423b000066f9779,Lapin à la moutarde
118,5afecbbf630c7f0007fa84e7,Lasagne al forno Esselunga
119,5d9e2b86ea683900069557f2,Lentils
120,5d8e5d07ea68390006955797,Levevis fuldkorn pasta
121,5cc36b1cea3a3e0006d2180e,Mac and cheese
122,5df36fcf1cb33a00061eb136,Mais
123,5b2a9c156e167d0006a8162d,Mandorle
124,5c842640ea3a3e0006d21658,Mango
125,5c16072b22cdc00007a4bc39,Mango Sticky Rice (1 serving)
126,5acbc22b1f0bb90007b41ba5,Mass Gainer shake
127,5b0afecc630c7f0007fa855f,Mayo øko aïoli
128,5b1ad71a630c7f0007fa8600,Mc Donald America Texas onion
129,5bbef2677471830008bddfe8,Mc Donald Bagel
130,5c855a54ea3a3e0006d21660,Mc Donald Cheeseburger
131,5b019a5b630c7f0007fa8505,Mc Donald Diuble Cheeseburger
132,5bf1ae71e6aee70008a0dfb6,Mc Donald Double Big Tasty Bacon
133,5bf1b8d6e6aee70008a0dfb7,Mc Donald Double Super Cheese
134,5bcc8890e6aee70008a0dee5,Mc Donald Fries Big
135,5b019b44630c7f0007fa8506,Mc Donald Gran Crispy McBacon
136,5c3c28e822cdc00007a4bcf3,Mc Donald Grov Feast
137,5bd380d0e6aee70008a0df10,Mc Donald Hamburger
138,5caa373aea3a3e0006d21770,Mc Donald Homestyle special jalapeños 
139,5b2fcb2f6e167d0006a8164c,Mc Donald Mc Chicken
140,5be9e7b2e6aee70008a0df8d,Mc Donald Mc Feast
141,5b425ab26e167d0006a816c8,Mc Donald McBacon
